38 Provinsi,,,,,,
,[Seri 2010] Produk Domestik Regional Bruto Per Kapita (Ribu Rupiah),,,,,
,Harga Berlaku,,,Harga Konstan 2010,,
,2019,2020,2021,2019,2020,2021
ACEH,30879.06,31633.38,34673.56,24842.3,25018.28,25356.45
SUMATERA UTARA,54620.4,54979.04,57441.93,36853.59,36175.16,36582.07
SUMATERA BARAT,44885.51,43825.66,45218.16,31427.29,30696.21,31264.98
RIAU,111227.01,114166.9,129740.71,72509.14,76884.74,78319.23
JAMBI,60828.86,57957.73,64770.93,41812.35,41926.04,42898.41
SUMATERA SELATAN,53359.1,53842.74,57744.67,37125.75,37323.24,38182.24
BENGKULU,36565.29,36552.5,39167.13,23504.53,23105.92,23545.64
LAMPUNG,42172.32,39290.33,40806.71,28894.5,26746.64,27149.57
KEP. BANGKA BELITUNG,52232.8,52023.4,58406.07,37173.14,36307.61,37620.69
KEP. RIAU,119394.66,123464.79,131883.84,81138.52,85012.58,86584.63
DKI JAKARTA,268052.25,262615.17,274659.62,174812.51,170089.02,175004.64
JAWA BARAT,43309.19,43236.51,45234.18,30413.37,30180.54,30935.23
JAWA TENGAH,39388.15,36964.78,38568.08,28695.92,26483.68,27092.91
DI YOGYAKARTA,36459.73,37693.64,40516,27008.68,27754.47,29115.86
JAWA TIMUR,59015.17,56640.82,59988.44,41512.2,39686.19,40779.82
BANTEN,52013.99,52729.4,55383.29,35913.9,37165.16,38339.42
BALI,57755.96,52015.45,50758.32,37297.5,34216.52,33123.79
NUSA TENGGARA BARAT,25716.11,25183.56,26009.17,18219.11,17583.11,17715.84
NUSA TENGGARA TIMUR,19630.02,20056.99,20554.99,12761.98,12960.95,13076.68
KALIMANTAN BARAT,42045.41,39622.24,42252.66,27199.78,24953.61,25793.51
KALIMANTAN TENGAH,56625.38,57145.08,62833.77,37870.47,37148.73,37955.03
KALIMANTAN SELATAN,42823.56,44100.79,48065.95,31611.46,32212.3,32894.85
KALIMANTAN TIMUR,180259.1,161798.85,183157.52,134410.55,125764.53,127368.07
KALIMANTAN UTARA,138751.01,143533.29,157091.68,88299.52,86823.59,88973.51
SULAWESI UTARA,52173.02,50521.13,54034.12,35687.44,33670.44,34776.43
SULAWESI TENGAH,61056.03,66306.27,82016.81,42054.5,45052.32,49690.23
SULAWESI SELATAN,57182.14,55675.03,59502.64,37474.29,36246.26,37501.45
SULAWESI TENGGARA,48514.15,49718.15,52436.02,35309.9,35708.6,36570.47
GORONTALO,34976.65,35693.26,37086.76,24167.56,24313.38,24594.17
SULAWESI BARAT,34111.83,32836.75,35195.14,24163.56,22666.22,22898.21
MALUKU,26097.04,25094.36,26153.05,17556.86,16688.12,17053.15
MALUKU UTARA,32124.96,33069.32,40381.06,21524.99,21915.03,25190.72
PAPUA BARAT,87542.37,73932.6,74021.65,64418.52,54487.7,53324.2
PAPUA BARAT DAYA,-,-,-,-,-,-
PAPUA,56618.95,46416.36,54050.61,40203.42,32108.51,36420.15
PAPUA SELATAN,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-
INDONESIA,59317.91,57289.59,62259.07,41021.61,39778.68,40780.75
