38 Provinsi,,,,
,[Seri 2010] Produk Domestik Regional Bruto Per Kapita (Ribu Rupiah),,,
,Harga Berlaku,,Harga Konstan 2010,
,2022,2023,2022,2023
ACEH,38900.18,41424.37,26061.53,26800.13
SUMATERA UTARA,62922.26,68305.71,37780.55,39140.19
SUMATERA BARAT,50264.02,54326.76,32166.9,33188.21
RIAU,151258.97,154522.28,80773.87,83070.74
JAMBI,76164.32,79835.78,44514.61,46007.34
SUMATERA SELATAN,68237.45,71950.37,39718.92,41277.53
BENGKULU,43756.98,46285.28,24238.47,24947.62
LAMPUNG,44983.67,48194.22,27973.81,28907.12
KEP. BANGKA BELITUNG,63871.65,67885.26,38743.76,39908.84
KEP. RIAU,145579.01,154178.97,89637.36,92930.2
DKI JAKARTA,299674.52,322615.13,183598.47,192133.32
JAWA BARAT,49136.9,52651.45,32246.78,33481.87
JAWA TENGAH,41946.05,45198.51,28248.16,29369.6
DI YOGYAKARTA,44637.15,48358.22,30410.57,31748.21
JAWA TIMUR,66246.91,71121.93,42635.85,44423.32
BANTEN,61413.76,66147.39,39790.39,41228.33
BALI,56091.82,62293.23,34480.98,36203.02
NUSA TENGGARA BARAT,28670.72,29925.6,18647.1,18687.15
NUSA TENGGARA TIMUR,21656.83,23078.03,13261.23,13513.49
KALIMANTAN BARAT,46092.06,48808.92,26734.57,27560.34
KALIMANTAN TENGAH,72988.52,75293.97,39856.48,40959.59
KALIMANTAN SELATAN,60244.41,63779.06,34133.19,35343.25
KALIMANTAN TIMUR,238916.99,215761.42,131238.63,137510.39
KALIMANTAN UTARA,192588.32,201748.78,92392.97,95638.09
SULAWESI UTARA,59020.57,64130.96,36368.64,38064.2
SULAWESI TENGAH,106068.47,112461.06,56577.06,62584.06
SULAWESI SELATAN,65350.37,69702.4,38973.26,40285.25
SULAWESI TENGGARA,58714.73,64088.4,37956.13,39342.46
GORONTALO,39693.74,42346.82,25270.24,26086.44
SULAWESI BARAT,37068.1,39533.27,23071.08,23919.08
MALUKU,28525.64,30456.11,17716.88,18392.66
MALUKU UTARA,53776.27,63676.84,30526.49,36267.29
PAPUA BARAT,78132.75,108101.5,53506.8,71904.88
PAPUA BARAT DAYA,-,58450.13,-,38868.83
PAPUA,59383.62,78061.39,39112.71,47323.87
PAPUA SELATAN,-,58680.24,-,33934.78
PAPUA TENGAH,-,103503.9,-,69566.08
PAPUA PEGUNUNGAN,-,16869.97,-,9094.7
INDONESIA,71043.44,74964.7,42471.54,44139.08
